sku_code,model_code,variant,price_tier,global_launch_date,is_active,created_at,source_system
IPH202501-128-BLA,IPH202501,128GB-Black,Standard,2025-09-12,Y,2026-02-05 17:51:36.475425,ERP_SKU
IPH202501-128-SIL,IPH202501,128GB-Silver,Standard,2025-09-12,Y,2026-02-05 17:51:36.475428,ERP_SKU
IPH202501-128-BLU,IPH202501,128GB-Blue,Standard,2025-09-12,Y,2026-02-05 17:51:36.475429,ERP_SKU
IPH202501-128-GOL,IPH202501,128GB-Gold,Standard,2025-09-12,Y,2026-02-05 17:51:36.475430,ERP_SKU
IPH202501-128-SPA,IPH202501,128GB-Space Gray,Standard,2025-09-12,Y,2026-02-05 17:51:36.475432,ERP_SKU
IPH202501-256-BLA,IPH202501,256GB-Black,Premium,2025-09-12,Y,2026-02-05 17:51:36.475433,ERP_SKU
IPH202501-256-SIL,IPH202501,256GB-Silver,Premium,2025-09-12,Y,2026-02-05 17:51:36.475434,ERP_SKU
IPH202501-256-BLU,IPH202501,256GB-Blue,Premium,2025-09-12,Y,2026-02-05 17:51:36.475435,ERP_SKU
IPH202501-256-GOL,IPH202501,256GB-Gold,Premium,2025-09-12,Y,2026-02-05 17:51:36.475436,ERP_SKU
IPH202501-256-SPA,IPH202501,256GB-Space Gray,Standard,2025-09-12,Y,2026-02-05 17:51:36.475437,ERP_SKU
IPH202501-512-BLA,IPH202501,512GB-Black,Standard,2025-09-12,Y,2026-02-05 17:51:36.475439,ERP_SKU
IPH202501-512-SIL,IPH202501,512GB-Silver,Premium,2025-09-12,Y,2026-02-05 17:51:36.475440,ERP_SKU
IPH202501-512-BLU,IPH202501,512GB-Blue,Standard,2025-09-12,Y,2026-02-05 17:51:36.475441,ERP_SKU
IPH202501-512-GOL,IPH202501,512GB-Gold,Premium,2025-09-12,Y,2026-02-05 17:51:36.475442,ERP_SKU
IPH202501-512-SPA,IPH202501,512GB-Space Gray,Standard,2025-09-12,Y,2026-02-05 17:51:36.475443,ERP_SKU
IPD202501-128-BLA,IPD202501,128GB-Black,Standard,2025-10-07,Y,2026-02-05 17:51:36.475448,ERP_SKU
IPD202501-128-SIL,IPD202501,128GB-Silver,Standard,2025-10-07,Y,2026-02-05 17:51:36.475449,ERP_SKU
IPD202501-128-BLU,IPD202501,128GB-Blue,Standard,2025-10-07,Y,2026-02-05 17:51:36.475450,ERP_SKU
